Nombre del Programa,Tipo de Programa,Escuela,Campus,Duración,Periodo
LDE-Licenciatura en Emprendimiento,Carrera profesional,Negocios,Querétaro; Puebla; Ciudad de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral
LDO-Licenciatura en Desarrollo de Talento y Cultura Organizacional,Carrera profesional,Negocios,Estado de México; Monterrey,8 semestres,Semestral
LEM-Licenciatura en Mercadotecnia,Carrera profesional,Negocios,León; Querétaro; Toluca; Puebla; Ciudad de México; Estado de México; Guadalajara; Sinaloa; Sonora Norte; Santa Fe; Monterrey,8 semestres,Semestral
LIN-Licenciatura en Negocios Internacionales,Carrera profesional,Negocios,Aguascalientes; Chihuahua; Laguna; Morelia; Ciudad Juárez; Saltillo; Tampico; León; San Luis Potosí; Estado de México; Sinaloa; Sonora Norte,8 semestres,Semestral
LIT-Licenciatura en Inteligencia de Negocios,Carrera profesional,Negocios,Querétaro; Puebla; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semestres,Semestral
LBC-Licenciatura en Biociencias,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres,Semestral
LNB-Licenciatura en Nutrición y Bienestar Integral,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semestres y 4 Trimestres Clínicos,Mixto
LPS-Licenciatura en Psicología Clínica y de la Salud,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semestres y 4 Trimestres Clínicos,Mixto
MC-Médico Cirujano,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres y 8 Trimestres Clínicos,Mixto
MO-Médico Cirujano Odontólogo,Carrera profesional,Salud,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semestres y 4 Trimestres Clínicos,Mixto
Maestría en Ciencias con especialidad en Biotecnología (MBI),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey,2 años ,Semestral 
Maestría en Nanotecnología (MNT),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral 
Maestría en Administración de la Energía y sus Fuentes Renovables (MER-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años ,Trimestral 
Maestría en Innovación para el Desarrollo Empresarial (MID-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral 
Maestría en Ingeniería con especialidad en Sistemas de Calidad y Productividad (MIP-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral 
Maestría en Ciencias con especialidad en Sistemas de Manufactura (MSM),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey,2 años,Semestral 
Maestría en Administración de Tecnologías de Información (MTI-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,2 años,Trimestral 
Maestría en Ciencias Computacionales (MCC-I),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral 
Maestría en Gestión de la Ingeniería (MEM),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Estado de México,5 trimestres,Trimestral 
Maestría en Ciencias de la Ingeniería (MCI),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,2 años,Semestral 
Maestría en Ciberseguridad (MCY-M),Maestría,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Santa Fe; Campus Guadalajara,5 trimestres,Trimestral 
Maestría en Inteligencia Artificial Aplicada (MNA-V),Maestría,Escuela de Ingeniería y Ciencias,En línea,7 trimestres ,Trimestral 
Maestría en Prospectiva Estratégica (MPE),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,2 años,Trimestral
Maestría en Administración Pública y Política Pública (MAP),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,2 años,Trimestral
Maestría en Gestión Pública Aplicada (MGP-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,2 años,Trimestral
Maestría en Economía Aplicada (MEK),Maestría,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,21 meses,Trimestral
Maestría en Gobierno y Transformación Pública (MGT),Maestría,Escuela de Gobierno y Transformación Pública,Campus Santa Fe,7 trimestres,Trimestral
Maestría en Derecho (MDP),Maestría,Escuela de Gobierno y Transformación Pública,Campus Santa Fe,7 trimestres,Trimestral
Maestría en Derecho (MDP-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral
Maestría en Administración Pública y Política Pública (MAP - V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral
Maestría en Economía Aplicada (MEK V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral
Maestría en Prospectiva Estratégica (MPE-V),Maestría,Escuela de Gobierno y Transformación Pública,En línea,7 trimestres,Trimestral
Maestría en Educación (MEE-V),Maestría,Escuela de Humanidades y Educación,En línea,2.5 años,Semestral
Maestría en Estudios Humanísticos (MEH),Maestría,Escuela de Humanidades y Educación,Campus Monterrey,2 años,Semestral
Maestría en Tecnología Educativa (MTE-V),Maestría,Escuela de Humanidades y Educación,En línea,5 semestres,Semestral
Maestría en Emprendimiento Educativo (MTO-V),Maestría,Escuela de Humanidades y Educación,En línea,2.5 años,Trimestral
Maestría en Humanidades Digitales (MHD-V),Maestría,Escuela de Humanidades y Educación,En línea,2 años,Trimestral
Maestría en Administración Empresarial (MGN-V),Maestría,Escuela de Negocios,En línea,2.5 años,Trimestral
Maestría en Ciencias Biomédicas (MBC),Maestría,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,2 años,Semestral
Maestría en Arquitectura y Diseño Urbano (MDU-M),Maestría,Escuela de Arquitectura y Diseño,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro,5 trimestres,Trimestral 
Maestría en Administración y Dirección de Empresas (tiempo parcial) (MBA),Maestría,EGADE Business School,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Querétaro,2 años,Trimestral 
Maestría en Administración y Dirección de Empresas - Doble grado académico con University of North Carolina at Charlotte (MBA - G),Maestría,EGADE Business School,Campus Monterrey,2.5 años,Trimestral 
Maestría en Finanzas (MAF),Maestría,EGADE Business School,Campus Monterrey; Campus Santa Fe,2 años,Trimestral 
Maestría en Administración (MBM),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral 
Maestría en Administración y Dirección de Empresas (tiempo completo) (MBA-I),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral 
Maestría en Administración y Dirección de Empresas (MBA-V),Maestría,EGADE Business School,En línea,15 meses,Trimestral 
Maestría en Administración de Negocios Globales (MDE),Maestría,EGADE Business School,Campus Santa Fe,2 años,Semestral
Maestría en Analítica de Negocios (MBD),Maestría,EGADE Business School,Campus Monterrey,1 año,Trimestral 
Maestría en Finanzas (MAF-V),Maestría,EGADE Business School,En línea,15 meses ,Trimestral 
Doctorado en Ciencias de Ingeniería (DCI),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro; Campus Puebla,4 años ,Semestral 
Doctorado en Biotecnología (DBT),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Guadalajara; Campus Querétaro,9 semestres ,Semestral 
Doctorado en Ciencias Computacionales (DCC),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Guadalajara; Campus Estado de México,8 semestres,Semestral 
Doctorado en Nanotecnología (DNT),Doctorado,Escuela de Ingeniería y Ciencias,Campus Monterrey; Campus Estado de México,4 años,Semestral 
Doctorado en Política Pública (DPP),Doctorado,Escuela de Gobierno y Transformación Pública,Campus Monterrey; Campus Santa Fe,3.5 años,Semestral
Doctorado en Innovación Educativa (DEE),Doctorado,Escuela de Humanidades y Educación,Campus Monterrey,8 semestres,Semestral
Doctorado en Estudios Humanísticos (DEH),Doctorado,Escuela de Humanidades y Educación,Campus Monterrey; Campus Ciudad de México,4 años,Semestral
Doctorado en Ciencias Clínicas (DCL),Doctorado,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey; Campus Guadalajara,7 semestres,Semestral
Doctorado en Ciencias Biomédicas (DBC),Doctorado,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral
Doctorado en Ciencias Administrativas (DCA),Doctorado,EGADE Business School,Campus Monterrey; Campus Santa Fe,4 años,Semestral
Doctorado en Ciencias Financieras (DCF),Doctorado,EGADE Business School,Campus Santa Fe,4 años,Semestral
Especialidad en Logística y Cadena de Suministro (ELS),Especialidad,Escuela de Ingeniería y Ciencias,Campus Estado de México,1 año,Trimestral 
Especialidad en Administración de Proyectos (EPY),Especialidad,Escuela de Ingeniería y Ciencias,Campus Estado de México,1 año,Trimestral 
Especialidad en Inteligencia Artificial Aplicada (ENA-V),Especialidad,Escuela de Ingeniería y Ciencias,En línea,3 trimestres,Trimestral 
Especialidad en Gestión para el Liderazgo e Innovación Educativa (EGE-V),Especialidad,Escuela de Humanidades y Educación,En línea,1.5 años,Trimestral
Especialidad en Enseñanza y Evaluación del Inglés como Segunda Lengua ( EEE-V),Especialidad,Escuela de Humanidades y Educación,En línea,3 trimestres,Trimestral
Especialidad en Calidad de la Atención Clínica (RCA),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral 
Especialidad en Cardiología (RCR),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral 
Especialidad en Anestesiología (REA),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Medicina del Enfermo en Estado Crítico (REE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,2 años,Semestral 
Especialidad en Ginecología y Obstetricia (REG),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Medicina Interna (REM),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Pediatría (REN),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Radiología e Imagen (RER),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Neurología (REU),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral 
Especialidad en Geriatría (RGE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Neurología Pediátrica (RNP),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral 
Especialidad en Psiquiatría (RPS),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Urología (RUR),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Cirugía General (REC),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,5 años,Semestral 
Especialidad en Oftalmología (REO),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Especialidad en Neonatología (RNE),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,3 años,Semestral 
Especialidad en Anatomía Patológica (RAP),Especialidad,Escuela de Medicina y Ciencias de la Salud,Campus Monterrey,4 años,Semestral 
Ciencia de Datos (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o
Business Analytics: De los Datos al Conocimiento (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o
Sostenibilidad Financiera para la Transformación Pública (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o
Toma de Decisiones en Escenarios Complejos (Virtual),Certificación,Certificado de Alta Especialidad,Aula Virtual,144 horas,o
Administración de la Construcción,Certificación,Certificación,En línea,200 horas,o
Big Data como Estrategia de Negocios,Certificación,Certificación,En línea,82 horas,o
Certificación Internacional como Auditor Líder de Sistemas Integrados de Gestión ISO9001:2015; ISO14001:2015; ISO45001:2018 e ISO22000:2018,Certificación,Certificación,Aula Virtual,132 horas,o
Certificación Internacional en Coaching Ejecutivo y de Equipos,Certificación,Certificación,En línea,130 horas,o
Certificación Internacional en Coaching Profesional,Certificación,Certificación,Aula Virtual,112 horas,o
Certificación Internacional en Coaching de Vida y Marca Personal (ICT),Certificación,Certificación,Aula Virtual,96 horas,o
Desarrollo de Habilidades Gerenciales: Líder de Líderes,Certificación,Certificación,Live,94 horas,o
Desarrollo de Habilidades en Contabilidad; Impuestos y Finanzas,Certificación,Certificación,En línea,96 horas,o
Desarrollo de Soft Skills Personales; Sociales y de Liderazgo,Certificación,Certificación,En línea,81 horas,o
Gestión Estratégica de los Portafolios de Proyectos,Certificación,Certificación,Aula Virtual,64 horas,o
Habilidades de Administración Ágil de Proyectos; Basado en Estándares del PMI® e IPMA,Certificación,Certificación,En línea,115 horas,o
Lean Six Sigma Black Belt,Certificación,Certificación,Aula Virtual,159 horas,o
Lean Six Sigma Green Belt,Certificación,Certificación,En línea,136 horas,o
Ética y Cumplimiento Corporativo Internacional,Certificación,Certificación,Live,100 horas,o
Administración Aduanera,Diplomado,Posgrados y Educacion Continua,Aula Virtual,148 horas,Mensual
Administración Avanzada de Compras,Diplomado,Posgrados y Educacion Continua,Live,96 horas,Mensual
Administración Estratégica de Capital Humano,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Administración Financiera,Diplomado,Posgrados y Educacion Continua,En línea,134 horas,Mensual
Administración de Proyectos de Tecnologías de Información (APTI),Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Administración de la Construcción,Diplomado,Posgrados y Educacion Continua,Aula Virtual,134 horas,Mensual
Agronegocios,Diplomado,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual
Aseguramiento de la Calidad Farmacéutica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Business Management,Diplomado,Posgrados y Educacion Continua,Live,110 horas,Mensual
Calidad y Productividad,Diplomado,Posgrados y Educacion Continua,En línea,142 horas,Mensual
Comunicación Avanzada para la Alta Dirección,Diplomado,Posgrados y Educacion Continua,Aula Virtual,144 horas,Mensual
Comunicación Cooporativa Estratégica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Data Science for Business,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Data Science and AI: Del Concepto a Desarrollo de Aplicaciones,Diplomado,Posgrados y Educacion Continua,Live,120 horas,Mensual
Decisiones Estratégicas en el Retail,Diplomado,Posgrados y Educacion Continua,Aula Virtual,128 horas,Mensual
Decoración e Interiorismo,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Derecho Coorporativo,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Derecho Fiscal,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Desarrollo de Competencias Generales,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Desarrollo de Habilidades en Contabilidad; Impuestos y Finanzas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Desarrollo de Habilidades para Gerentes y Ejecutivos de Ventas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Desarrollo de Vendedores de Alto Potencial,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Despliegue de Modelos de Machine Learning en Ambientes Productivos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Dirección Estratégica de Almacenes y Centros de Distribución,Diplomado,Posgrados y Educacion Continua,Presencial en Campus Monterrey,112 horas,Mensual
Dirección Estratégica de Almacenes y Centros de Distribución,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Dirección Estratégica de Ventas,Diplomado,Posgrados y Educacion Continua,En línea,153 horas,Mensual
Dirección Estratégica de Ventas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Dirección Financiera Cooporativa,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Diseño Regenerativo. Territorios y Ciudades Resilientes,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Diseño de Joyería: De la Marca a la Pieza,Diplomado,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual
Escalas de la Ciudad: Vivienda; Barrio; Territorio,Diplomado,Posgrados y Educacion Continua,Aula Virtual,104 horas,Mensual
Especialización en Management Financiero,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Estrategia de Negocios,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Evaluación de Riesgos y Control Interno,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Finanzas Bursátiles Aplicadas,Diplomado,Posgrados y Educacion Continua,Aula Virtual,152 horas,Mensual
Finanzas para Profesionistas no financieros en la Industria,Diplomado,Posgrados y Educacion Continua,Aula Virtual,108 horas,Mensual
Fintech & Transformación Digital,Diplomado,Posgrados y Educacion Continua,Aula Virtual,101 horas,Mensual
Formación Estratégica para Gerentes de Alto Desempeño,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Gestión Integral del Transporte,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Gestión Profesional de Proyectos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,100 horas,Mensual
Gestión Profesional Ágil de Proyectos. Principios; Valores y Metodologías,Diplomado,Posgrados y Educacion Continua,Live,120 horas,Mensual
Gestión de la Seguridad de la Información,Diplomado,Posgrados y Educacion Continua,Aula Virtual,124 horas,Mensual
Gestión y Dirección Financiera,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Identificación; Rediseño e Innovación de Procesos,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Implementación de la Agenda Urbana Rumbo al 2030,Diplomado,Posgrados y Educacion Continua,Aula Virtual,120 horas,Mensual
Innovación Educativa en Salud,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
La Cadena de Suministro en la Era Digital,Diplomado,Posgrados y Educacion Continua,Live,130 horas,Mensual
La Empresa Familiar: Institucionalización y Continuidad,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Lean Manufacturing,Diplomado,Posgrados y Educacion Continua,Live,115 horas,Mensual
Los Impuestos en México; un Enfoque con Visión Financiera y Fiscal,Diplomado,Posgrados y Educacion Continua,Aula Virtual,104 horas,Mensual
Marketing Digital,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Mercadotecnia Estratégica y Comercialización,Diplomado,Posgrados y Educacion Continua,En línea,126 horas,Mensual
Mercadotecnia Farmacéutica,Diplomado,Posgrados y Educacion Continua,Aula Virtual,139 horas,Mensual
Normas Internacionales de Información Financiera (IFRS),Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Nutrición Funcional Aplicada a la Terapéutica del Sobrepeso y la Obesidad,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
People Analytics,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Planeación y Evaluación de Negocios Inmobiliarios,Diplomado,Posgrados y Educacion Continua,Live,100 horas,Mensual
Salud Global para Líderes,Diplomado,Posgrados y Educacion Continua,Aula Virtual,94 horas,Mensual
Seguridad; Higiene Industrial y Salud Ocupacional,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Tecnologías de Ciberseguridad,Diplomado,Posgrados y Educacion Continua,Live,115 horas,Mensual
Top Management,Diplomado,Posgrados y Educacion Continua,Aula Virtual,135 horas,Mensual
Transformación Digital Gerencial,Diplomado,Posgrados y Educacion Continua,Aula Virtual,112 horas,Mensual
Ventas de Alto Impacto,Diplomado,Posgrados y Educacion Continua,Presencial en Campus Guadalajara,104 horas,Mensual
e-commerce 4.0,Diplomado,Posgrados y Educacion Continua,Aula Virtual,96 horas,Mensual
Administración de Proyectos,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Análisis de los Estados Financieros,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Conceptos Estratégicos de Mercadotecnia,Seminario,Posgrados y Educacion Continua,En línea,40 horas,Mensual
Conducción de Equipos de Alto Desempeño,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Desarrollo de Soft Skills Personales,Seminario,Posgrados y Educacion Continua,En línea,25 horas,Mensual
Desarrollo de Soft Skills Sociales,Seminario,Posgrados y Educacion Continua,En línea,25 horas,Mensual
Eficiencia en la Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
Gestión Estratégica del Capital Humano,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Gestión de la Empresa Constructora,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
Gestión de la Fuerza de Ventas,Seminario,Posgrados y Educacion Continua,En línea,12 horas,Mensual
Gestión de las Emociones,Seminario,Posgrados y Educacion Continua,En línea,11 horas,Mensual
Impuestos de las Operaciones Empresariales,Seminario,Posgrados y Educacion Continua,En línea,10 horas,Mensual
Innovación en la Construcción,Seminario,Posgrados y Educacion Continua,En línea,50 horas,Mensual
