ID,Program name,Program Level,School,Location,Duration,Periodo,
LIN,Bachelor's Degree in International Business,Bachelor's degree,Business School,Aguascalientes; Chihuahua; Laguna; Morelia; Ciudad Juárez; Saltillo; Tampico; León; San Luis Potosí; Estado de México; Sinaloa; Sonora Norte,8 semesters,Semester-based,
LIT,Bachelor's Degree in Business Intelligence,Bachelor's degree,Business School,Querétaro; Puebla; Estado de México; Guadalajara; Santa Fe; Monterrey,8 semesters,Semester-based,
LBC,Bachelor's Degree in Biosciences,Bachelor's degree,School of Medicine and Health Sciences,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semesters,Semester-based,
LNB,Bachelor's Degree in Nutrition and Holistic Wellness,Bachelor's degree,School of Medicine and Health Sciences,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semesters y 4 clinical trimesters,Mixed,
LPS,Bachelor's Degree in Clinical and Health Psychology,Bachelor's degree,School of Medicine and Health Sciences,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,6 semesters y 4 clinical trimesters,Mixed,
MC,Surgeon Doctor,Bachelor's degree,School of Medicine and Health Sciences,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semesters y 8 clinical trimesters,Mixed,
MO,Surgeon Dentist,Bachelor's degree,School of Medicine and Health Sciences,Ciudad de México; Guadalajara; Monterrey y Chihuahua hasta tercer semestre,8 semesters y 4 clinical trimesters,Mixed,
MBI,Master's in Science with a specialization in Biotechnology,Master's degree,School of Engineering and Sciences,Campus Monterrey,2 years ,Semester-based ,
MNT,Master's in Nanotechnology,Master's degree,School of Engineering and Sciences,Campus Monterrey; Campus Estado de México,2 years,Semester-based ,
MER-V,Master's in Energy Management and its Renewable Sources,Master's degree,School of Engineering and Sciences,Online,2 years ,Quarterly ,
MID-V,Master's in Innovation for Business Development,Master's degree,School of Engineering and Sciences,Online,2 years,Quarterly ,
MIP-V,Master's in Engineering with a specialization in Quality and Productivity Systems,Master's degree,School of Engineering and Sciences,Online,2 years,Quarterly ,
MSM,Master's Degree in Science with specialization in Manufacturing Systems,Master's degree,School of Engineering and Sciences,Campus Monterrey,2 years,Semester-based ,
MTI-V,Master's Degree in Information Technology Management,Master's degree,School of Engineering and Sciences,Online,2 years,Quarterly ,
MCC-I,Master's in Computational Sciences,Master's degree,School of Engineering and Sciences,Campus Monterrey; Campus Estado de México,2 years,Semester-based ,
MEM,Master's in Engineering Management,Master's degree,School of Engineering and Sciences,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Estado de México,5 trimesters,Quarterly ,
MCI,Master's in Engineering Sciences,Master's degree,School of Engineering and Sciences,Campus Monterrey; Campus Estado de México,2 years,Semester-based ,
MCY-M,Master's in Cybersecurity,Master's degree,School of Engineering and Sciences,Campus Monterrey; Campus Santa Fe; Campus Guadalajara,5 trimesters,Quarterly ,
MNA-V,Master's in Applied Artificial Intelligence,Master's degree,School of Engineering and Sciences,Online,7 trimesters ,Quarterly ,
MPE,Master's in Strategic Foresight,Master's degree,School of Government and Public Transformation,Campus Monterrey; Campus Santa Fe,2 years,Quarterly,
MAP,Master's in Public Administration and Public Policy,Master's degree,School of Government and Public Transformation,Campus Monterrey; Campus Santa Fe,2 years,Quarterly,
MGP-V,Master's in Applied Public Management,Master's degree,School of Government and Public Transformation,Online,2 years,Quarterly,
MEK,Master's in Applied Economics,Master's degree,School of Government and Public Transformation,Campus Monterrey; Campus Santa Fe,21 months,Quarterly,
MGT,Master's in Government and Public Transformation,Master's degree,School of Government and Public Transformation,Campus Santa Fe,7 trimesters,Quarterly,
MDP,Master's Degree in Law,Master's degree,School of Government and Public Transformation,Campus Santa Fe,7 trimesters,Quarterly,
MDP-V,Master's in Law,Master's degree,School of Government and Public Transformation,Online,7 trimesters,Quarterly,
MAP-V,Master's in Public Administration and Public Policy,Master's degree,School of Government and Public Transformation,Online,7 trimesters,Quarterly,
MEK V,Master's in Applied Economics,Master's degree,School of Government and Public Transformation,Online,7 trimesters,Quarterly,
MPE-V,Master's in Strategic Foresight,Master's degree,School of Government and Public Transformation,Online,7 trimesters,Quarterly,
MEE-V,Master's in Education,Master's degree,School of Humanities and Education,Online,2.5 years,Semester-based,
MEH,Master's in Humanistic Studies,Master's degree,School of Humanities and Education,Campus Monterrey,2 years,Semester-based,
MTE-V,Master's in Educational Technology,Master's degree,School of Humanities and Education,Online,5 semesters,Semester-based,
MTO-V,Masters in Educational Entrepreneurship,Master's degree,School of Humanities and Education,Online,2.5 years,Quarterly,
MHD-v,Master's in Digital Humanities,Master's degree,School of Humanities and Education,Online,2 years,Quarterly,
MGN-V,Master's in Business Administration,Master's degree,Business School,Online,2.5 years,Quarterly,
MBC,Master's Degree in Biomedical Sciences,Master's degree,School of Medicine and Health Sciences,Campus Monterrey,2 years,Semester-based,
MDU-M,Master's in Architecture and Urban Design,Master's degree,School of Built Environment,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro,5 trimesters,Quarterly ,
MBA,Masters in Business Administration and Management,Master's degree,EGADE Business School,Campus Monterrey; Campus Santa Fe; Campus Guadalajara; Campus Querétaro,2 years,Quarterly ,
MBA - G,Master's in Business Administration and Management - Double academic degree with University of North Carolina at Charlotte,Master's degree,EGADE Business School,Campus Monterrey,2.5 years,Quarterly ,
MAF,Master's in Finance,Master's degree,EGADE Business School,Campus Monterrey; Campus Santa Fe,2 years,Quarterly ,
MBM,Master's in Administration,Master's degree,EGADE Business School,Campus Monterrey,1 year,Quarterly ,
MBA-I,Master's Degree in Business Administration and Management,Master's degree,EGADE Business School,Campus Monterrey,1 year,Quarterly ,
MBA-V,Master's in Business Administration and Management,Master's degree,EGADE Business School,Online,15 months,Quarterly ,
MDE,Master's in Global Business Administration,Master's degree,EGADE Business School,Campus Santa Fe,2 years,Semester-based,
MBD,Master's in Business Analytics,Master's degree,EGADE Business School,Campus Monterrey,1 year,Quarterly ,
MAF-V,Master's in Finance,Master's degree,EGADE Business School,Online,15 months ,Quarterly ,
DCI,Doctorate in Engineering Sciences,Doctorate degree,School of Engineering and Sciences,Campus Monterrey; Campus Ciudad de México; Campus Guadalajara; Campus Querétaro; Campus Puebla,4 years ,Semester-based ,
DBT,Doctorate in Biotechnology,Doctorate degree,School of Engineering and Sciences,Campus Monterrey; Campus Guadalajara; Campus Querétaro,9 semesters ,Semester-based ,
DCC,Doctorate in Computational Sciences,Doctorate degree,School of Engineering and Sciences,Campus Monterrey; Campus Guadalajara; Campus Estado de México,8 semesters,Semester-based ,
DNT,Doctorate in Nanotechnology,Doctorate degree,School of Engineering and Sciences,Campus Monterrey; Campus Estado de México,4 years,Semester-based ,
DPP,Doctorate in Public Policy,Doctorate degree,School of Government and Public Transformation,Campus Monterrey; Campus Santa Fe,3.5 years,Semester-based,
DEE,Doctorate in Educational Innovation,Doctorate degree,School of Humanities and Education,Campus Monterrey,8 semesters,Semester-based,
DEH,Doctorate in Humanities Studies,Doctorate degree,School of Humanities and Education,Campus Monterrey; Campus Ciudad de México,4 years,Semester-based,
DCL,Doctorate in Clinical Sciences,Doctorate degree,School of Medicine and Health Sciences,Campus Monterrey; Campus Guadalajara,7 semesters,Semester-based,
DBC,Doctorate in Biomedical Sciences,Doctorate degree,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based,
DCA,Doctorate in Administrative Sciences,Doctorate degree,EGADE Business School,Campus Monterrey; Campus Santa Fe,4 years,Semester-based,
DCF,Doctorate in Financial Sciences,Doctorate degree,EGADE Business School,Campus Santa Fe,4 years,Semester-based,
ELS,Specialization in Logistics and Supply Chain,Specialization,School of Engineering and Sciences,Campus Estado de México,1 year,Quarterly ,
EPY,Specialization in Project Management,Specialization,School of Engineering and Sciences,Campus Estado de México,1 year,Quarterly ,
ENA-V,Specialization in Applied Artificial Intelligence,Specialization,School of Engineering and Sciences,Online,3 trimesters,Quarterly ,
EGE-V,Specialization in Management for Educational Leadership and Innovation,Specialization,School of Humanities and Education,Online,1.5 years,Quarterly,
EEE-V,Specialization in Teaching and Assessment of English as a Second Language,Specialization,School of Humanities and Education,Online,3 trimesters,Quarterly,
RCA,Specialization in Clinical Care Quality,Specialization,School of Medicine and Health Sciences,Campus Monterrey,3 years,Semester-based ,
RCR,Specialty in Cardiology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,3 years,Semester-based ,
REA,Specialty in Anesthesiology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
REE,Specialty in Medicine for the Critically Ill Patient,Specialization,School of Medicine and Health Sciences,Campus Monterrey,2 years,Semester-based ,
REG,Specialty in Gynecology and Obstetrics,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
REM,Specialty in Internal Medicine,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
REN,Specialty in Pediatrics,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
RER,Specialty in Radiology and Imaging,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
REU,Specialty in Neurology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,3 years,Semester-based ,
RGE,Specialty in Geriatrics,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
RNP,Specialty in Pediatric Neurology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,3 years,Semester-based ,
RPS,Specialization in Psychiatry,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
RUR,Specialty in Urology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
REC,Specialty in General Surgery,Specialization,School of Medicine and Health Sciences,Campus Monterrey,5 years,Semester-based ,
REO,Specialty in Ophthalmology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
RNE,Specialization in Neonatology,Specialization,School of Medicine and Health Sciences,Campus Monterrey,3 years,Semester-based ,
RAP,Specialty in Pathological Anatomy,Specialization,School of Medicine and Health Sciences,Campus Monterrey,4 years,Semester-based ,
,Data Science (Virtual),Certificate,Graduate Studies and Continuing Education,Virtual Classroom,144 hours,Variable,
,Business Analytics: From Data to Knowledge (Virtual),Certificate,Graduate Studies and Continuing Education,Virtual Classroom,144 hours,Variable,
,Financial Sustainability for Public Transformation (Virtual),Certificate,Graduate Studies and Continuing Education,Virtual Classroom,144 hours,Variable,
,Decision Making in Complex Scenarios (Virtual),Certificate,Graduate Studies and Continuing Education,Virtual Classroom,144 hours,Variable,
,Construction Management,Certificate,Graduate Studies and Continuing Education,Online,200 hours,Variable,
,Big Data as a Business Strategy,Certificate,Graduate Studies and Continuing Education,Online,82 hours,Variable,
,International Certification as Lead Auditor of Integrated Management Systems ISO9001:2015; ISO14001:2015; ISO45001:2018 and ISO22000:2018,Certificate,Graduate Studies and Continuing Education,Virtual Classroom,132 hours,Variable,
,International Certification in Executive and Team Coaching,Certificate,Graduate Studies and Continuing Education,Online,130 hours,Variable,
,International Certification in Professional Coaching,Certificate,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Variable,
ICT,International Certification in Life Coaching and Personal Branding,Certificate,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Variable,
,Development of Managerial Skills: Leader of Leaders,Certificate,Graduate Studies and Continuing Education,Live,94 hours,Variable,
,Development of Skills in Accounting; Taxes and Finance,Certificate,Graduate Studies and Continuing Education,Online,96 hours,Variable,
,Development of Personal Soft Skills; Social and Leadership Skills,Certificate,Graduate Studies and Continuing Education,Online,81 hours,Variable,
,Strategic Management of Project Portfolios,Certificate,Graduate Studies and Continuing Education,Virtual Classroom,64 hours,Variable,
,Agile Project Management Skills; Based on PMI® and IPMA Standards,Certificate,Graduate Studies and Continuing Education,Online,115 hours,Variable,
,Lean Six Sigma Black Belt,Certificate,Graduate Studies and Continuing Education,Virtual Classroom,159 hours,Variable,
,Lean Six Sigma Green Belt,Certificate,Graduate Studies and Continuing Education,Online,136 hours,Variable,
,International Corporate Ethics and Compliance,Certificate,Graduate Studies and Continuing Education,Live,100 hours,Variable,
,Customs Administration,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,148 hours,Monthly,
,Advanced Purchasing Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,96 hours,Monthly,
,Strategic Human Capital Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Financial Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Online,134 hours,Monthly,
APTI,Information Technology Project Management (ITPM),Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Construction Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,134 hours,Monthly,
,Agricultural Business,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,108 hours,Monthly,
,Pharmaceutical Quality Assurance,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Business Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,110 hours,Monthly,
,Quality and Productivity,Postgraduate Diploma,Graduate Studies and Continuing Education,Online,142 hours,Monthly,
,Advanced Communication for Senior Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,144 hours,Monthly,
,Strategic Cooperative Communication,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Data Science for Business,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Data Science and AI: From Concept to Application Development,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,120 hours,Monthly,
,Strategic Decisions in Retail,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,128 hours,Monthly,
,Decoration and Interior Design,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Corporate Law,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Tax Law,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Development of General Competencies,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Development of Skills in Accounting; Taxes and Finance,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Skills Development for Sales Managers and Executives,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Development of High Potential Sellers,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Deployment of Machine Learning Models in Production Environments,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,100 hours,Monthly,
,Strategic Management of Warehouses and Distribution Centers,Postgraduate Diploma,Graduate Studies and Continuing Education,Campus Monterrey,112 hours,Monthly,
,Strategic Direction of Warehouses and Distribution Centers,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Strategic Sales Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Online,153 hours,Monthly,
,Strategic Sales Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Cooperative Financial Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Regenerative Design. Resilient Territories and Cities,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,100 hours,Monthly,
,Jewelry Design: From the Brand to the Piece,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,124 hours,Monthly,
,Scales of the City: Housing; Neighborhood; Territory,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,104 hours,Monthly,
,Specialization in Financial Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Business Strategy,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Risk Assessment and Internal Control,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Applied Stock Market Finance,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,152 hours,Monthly,
,Finance for Non-Financial Professionals in the Industry,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,108 hours,Monthly,
,Fintech & Digital Transformation,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,101 hours,Monthly,
,Strategic Training for High-Performance Managers,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Comprehensive Transportation Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Professional Project Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,100 hours,Monthly,
,Agile Professional Project Management. Principles; Values and Methodologies,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,120 hours,Monthly,
,Information Security Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,124 hours,Monthly,
,Financial Management and Direction,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Identification; Redesign and Innovation of Processes,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Implementation of the Urban Agenda Towards 2030,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,120 hours,Monthly,
,Educational Innovation in Health,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,The Supply Chain in the Digital Age,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,130 hours,Monthly,
,The Family Business: Institutionalization and Continuity,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Lean Manufacturing,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,115 hours,Monthly,
,Taxes in Mexico; a Focus with Financial and Fiscal Vision,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,104 hours,Monthly,
,Digital Marketing,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Strategic Marketing and Commercialization,Postgraduate Diploma,Graduate Studies and Continuing Education,Online,126 hours,Monthly,
,Pharmaceutical Marketing,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,139 hours,Monthly,
,International Financial Reporting Standards (IFRS),Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Functional Nutrition Applied to the Therapeutics of Overweight and Obesity,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,People Analytics,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Planning and Evaluation of Real Estate Business,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,100 hours,Monthly,
,Global Health for Leaders,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,94 hours,Monthly,
,Security; Industrial Hygiene and Occupational Health,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,Cybersecurity Technologies,Postgraduate Diploma,Graduate Studies and Continuing Education,Live,115 hours,Monthly,
,Top Management,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,135 hours,Monthly,
,Management Digital Transformation,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,112 hours,Monthly,
,High Impact Sales,Postgraduate Diploma,Graduate Studies and Continuing Education,Campus Guadalajara,104 hours,Monthly,
,e-commerce 4.0,Postgraduate Diploma,Graduate Studies and Continuing Education,Virtual Classroom,96 hours,Monthly,
,Project Management,Seminar,Graduate Studies and Continuing Education,Online,10 hours,Monthly,
,Analysis of the Financial Statements,Seminar,Graduate Studies and Continuing Education,Online,10 hours,Monthly,
,Strategic Marketing Concepts,Seminar,Graduate Studies and Continuing Education,Online,40 hours,Monthly,
,Leading High Performance Teams,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,Development of Personal Soft Skills,Seminar,Graduate Studies and Continuing Education,Online,25 hours,Monthly,
,Development of Social Soft Skills,Seminar,Graduate Studies and Continuing Education,Online,25 hours,Monthly,
,Efficiency in Construction,Seminar,Graduate Studies and Continuing Education,Online,50 hours,Monthly,
,Strategic Management of Human Capital,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,Management of the Construction Company,Seminar,Graduate Studies and Continuing Education,Online,50 hours,Monthly,
,Sales Force Management,Seminar,Graduate Studies and Continuing Education,Online,12 hours,Monthly,
,Emotion Management,Seminar,Graduate Studies and Continuing Education,Online,11 hours,Monthly,
,Business Operations Taxes,Seminar,Graduate Studies and Continuing Education,Online,10 hours,Monthly,
,Innovation in Construction,Seminar,Graduate Studies and Continuing Education,Online,50 hours,Monthly,
,Multigenerational Strategic Integration,Seminar,Graduate Studies and Continuing Education,Online,30 hours,Monthly,
,Introduction to Digital Transformation,Seminar,Graduate Studies and Continuing Education,Online,15 hours,Monthly,
